"CPUE_File","Stock","Name","EnglishName","ScientificName","StartYear","EndYear","Resilience","r.low","r.hi","Bk.yr","Bk.pr","Bk.pr.low","Bk.pr.hi","e.creep","Comment","Source","MSY.BSM","MSY.BSM.lcl","MSY.BSM.ucl","r.BSM","r.BSM.lcl","r.BSM.ucl","k.BSM","k.BSM.lcl","k.BSM.ucl","B_Bmsy","B_Bmsy.lcl","B_Bmsy.ucl","F_Fmsy","F_Fmsy.lcl","F_Fmsy.ucl"
"EU_Stocks_CPUE_1.csv","fle-2223","Flounder in Subdivisions 22–23 (Belts and sound)","NA","Platichthys flesus",2001,2015,"Medium",0.36,0.86,2001,"Small","NA","NA","NA",,,2.7,2.22,3.29,0.58,0.47,0.72,18.61,15.03,23.05,1.6,1.16,1.7,0.27,0.25,0.37
"EU_Stocks_CPUE_1.csv","fle-2628","Flounder in Subdivisions 26 and 28 (Eastern Gotland and Gulf of Gdansk)","NA","Platichthys flesus",2001,2015,"Medium",0.36,0.86,2001,"More than half","NA","NA","NA",,,3.81,3.37,4.31,0.6,0.49,0.74,25.33,22.07,29.08,0.65,0.33,0.79,1.62,1.33,3.21
"EU_Stocks_CPUE_1.csv","fle-2732","Flounder in Subdivisions 27 and 29–32 (Northern Central and Northern Baltic Sea)","NA","Platichthys flesus",2000,2014,"Medium",0.36,0.86,2000,"About half","NA","NA","NA",,,0.36,0.32,0.41,0.64,0.53,0.77,2.27,1.98,2.6,0.57,0.04,0.79,0.86,0.63,11.55
"EU_Stocks_CPUE_1.csv","fle-nsea","Flounder in Division IIIa and Subarea IV","NA","Platichthys flesus",1983,2014,"Medium",0.36,0.86,1983,"About half","NA","NA","NA",,,3.96,3.24,4.84,0.67,0.53,0.85,23.62,20.43,27.31,0.58,0.08,0.79,0.96,0.7,7.14
"EU_Stocks_CPUE_1.csv","ghl-arct","Greenland halibut in Subareas I and II","NA","Reinhardtius hippoglossoides  ",1992,2014,"Low",0.17,0.38,1992,"Small","NA","NA","NA",,,19.82,16.75,23.47,0.28,0.23,0.35,279.22,228.86,340.66,1.29,1.02,1.66,0.63,0.49,0.8
"EU_Stocks_CPUE_1.csv","ghl-grn","Greenland halibut in Subareas V, VI, XII, and XIV (Iceland and Faroes grounds, West of Scotland, North of Azores, East of Greenland)","NA","Reinhardtius hippoglossoides",1960,2015,"Low",0.17,0.38,1960,"Near unexploited","NA","NA","NA",,,31.8,27.07,37.36,0.3,0.24,0.38,425.35,358.09,505.23,0.59,0.06,0.79,1.38,1.04,13.16
"EU_Stocks_CPUE_1.csv","had-346a","Haddock in Sub-area IV (North Sea) and Division IIIa West and VIa ","NA","Melanogrammus aeglefinus ",1972,2014,"Medium",0.33,0.74,1972,"More than half","NA","NA","NA",,,258.18,225.58,295.48,0.45,0.38,0.55,2271.67,2005.98,2572.55,0.13,0.02,0.36,5.17,1.86,27.35
"EU_Stocks_CPUE_1.csv","had-7b-k","Haddock in Divisions VIIb,c,e-k","NA","Melanogrammus aeglefinus ",1993,2015,"Medium",0.33,0.74,1993,"Very small","NA","NA","NA",,,17.98,15.15,21.33,0.66,0.54,0.81,108.92,88.19,134.53,0.84,0.43,1.18,0.96,0.68,1.88
"EU_Stocks_CPUE_1.csv","had-arct","Haddock in Subareas I and II (Northeast Arctic)","NA","Melanogrammus aeglefinus ",1950,2015,"Medium",0.33,0.74,1950,"Very small","NA","NA","NA",,,398.41,305.78,519.11,0.5,0.39,0.65,3163.14,2611.87,3830.77,1.35,1.06,1.65,0.48,0.39,0.61
"EU_Stocks_CPUE_1.csv","had-faro","Haddock in Division Vb","NA","Melanogrammus aeglefinus ",1957,2015,"Medium",0.33,0.74,1957,"About half","NA","NA","NA",,,18.32,15.51,21.64,0.58,0.48,0.71,125.38,109.09,144.1,0.15,0.02,0.38,3.15,1.24,19.94
"EU_Stocks_CPUE_1.csv","had-iceg","Haddock  in Division Va (Icelandic haddock)","NA","Melanogrammus aeglefinus ",1979,2015,"Medium",0.33,0.74,1979,"About half","NA","NA","NA",,,65.27,54.82,77.71,0.54,0.44,0.65,486.03,420.87,561.29,0.56,0.05,0.79,0.97,0.69,10.67
"EU_Stocks_CPUE_1.csv","had-iris","Haddock in Division VIIa (Irish Sea)","NA","Melanogrammus aeglefinus ",1995,2015,"Medium",0.33,0.74,1995,"Very small","NA","NA","NA",,,4.1,3.31,5.08,0.73,0.58,0.92,22.42,19.28,26.08,0.19,0.03,0.56,2.04,0.69,14.58
"EU_Stocks_CPUE_1.csv","had-rock","Haddock in Division VIb (Rockall)","NA","Melanogrammus aeglefinus ",1991,2015,"Medium",0.33,0.74,1991,"Small","NA","NA","NA",,,19.23,16.18,22.86,0.78,0.64,0.95,98.33,85.17,113.52,0.23,0.03,0.58,1.48,0.58,11.25
"EU_Stocks_CPUE_1.csv","her-2532-gor","Herring in Subdivisions 25 - 29 (excluding Gulf of Riga) and 32","NA","Clupea harengus",1974,2015,"Medium",0.3,0.68,1974,"More than half","NA","NA","NA",,,220.54,194.35,250.26,0.41,0.35,0.48,2175.95,1917.74,2468.93,1.15,0.75,1.29,0.6,0.53,0.92
"EU_Stocks_CPUE_1.csv","her-30","Herring in Subdivision 30 (Bothnian Sea)","NA","Clupea harengus",1990,2015,"Medium",0.3,0.68,1990,"About half","NA","NA","NA",,,67.9,56.03,82.28,0.41,0.33,0.51,659.43,573.41,758.35,0.87,0.71,1.2,1.93,1.39,2.37
"EU_Stocks_CPUE_1.csv","her-31","Herring in Subdivision 31 (BothnianBay)","NA","Clupea harengus",1980,2015,"Medium",0.3,0.68,1980,"About half","NA","NA","NA",,,6.76,5.64,8.09,0.51,0.42,0.62,52.89,46.04,60.76,0.44,0.04,0.78,1.49,0.84,15.53
"EU_Stocks_CPUE_1.csv","her-3a22","Herring in Division IIIa and Subdivisions 22 - 24 ","NA","Clupea harengus",1991,2015,"Medium",0.3,0.68,1991,"About half","NA","NA","NA",,,128.98,106.75,155.84,0.46,0.38,0.57,1118.9,979.32,1278.38,0.24,0.02,0.57,2.3,0.95,23.4
"EU_Stocks_CPUE_1.csv","her-47d3","Herring in Subarea IV and Divisions IIIa and VIId ","NA","Clupea harengus",1977,2015,"Medium",0.3,0.68,1977,"Very small","NA","NA","NA",,,739.77,619.5,883.38,0.69,0.55,0.87,4296.86,3524.05,5239.16,1.61,1.31,1.69,0.46,0.44,0.56
"EU_Stocks_CPUE_1.csv","her-noss","Norwegian spring-spawning herring","NA","Clupea harengus",1988,2014,"Medium",0.3,0.68,1988,"Small","NA","NA","NA",,,922.51,802.88,1059.96,0.47,0.39,0.57,7813.16,6557.75,9308.9,0.41,0.05,0.59,1.28,0.89,11.18
"EU_Stocks_CPUE_1.csv","her-riga","Herring in the Gulf of Riga","NA","Clupea harengus",1977,2015,"Medium",0.3,0.68,1977,"Small","NA","NA","NA",,,30.27,26.34,34.79,0.52,0.44,0.61,233.73,202.51,269.76,0.88,0.43,1.19,1.16,0.86,2.38
"EU_Stocks_CPUE_1.csv","her-vasu","Herring in Division Va (Iceland grounds) (summer-spawning herring)","NA","Clupea harengus",1987,2015,"Medium",0.3,0.68,1987,"Small","NA","NA","NA",,,107.26,88.66,129.76,0.5,0.41,0.62,857.58,742.89,989.98,0.61,0.05,0.79,1.03,0.8,12.25
"EU_Stocks_CPUE_1.csv","hke-soth","Hake in Divisions VIIIc and IXa (Southern stock) (Cantabrian Sea, Atlantic Iberian waters)","NA","Merluccius merluccius",1982,2015,"Medium",0.35,0.8,1982,"Near unexploited","NA","NA","NA",,,18.79,15.42,22.9,0.57,0.46,0.7,132.14,114.84,152.04,0.85,0.71,1.18,1.05,0.76,1.26
"EU_Stocks_CPUE_1.csv","hom-soth","Horse mackerel in Division IXa (Atlantic Iberian Waters)","NA","Trachurus trachurus",1992,2015,"Medium",0.32,0.73,1992,"Small","NA","NA","NA",,,30.89,27.28,34.97,0.49,0.4,0.59,254.02,204.83,315.02,1.37,1.04,1.63,0.69,0.58,0.91
